message_id,chunk_id,ts_unix,day,sender,body
m000000,0,1715226054,2024-05-09,救命恩人唐白白,我通过了你的朋友验证请求，现在我们可以开始聊天了
m000001,0,1715226074,2024-05-09,救命恩人唐白白,李飞跃你好
m000004,0,1715417712,2024-05-11,救命恩人唐白白,你多平台表情包是一套啊
m000005,0,1715417734,2024-05-11,我,还是有区别的
m000006,0,1715417744,2024-05-11,我,微信表情包经过多年收集
m000007,0,1715417751,2024-05-11,我,还是全很多的
m000009,0,1715417776,2024-05-11,救命恩人唐白白,啊哈哈哈哈哈哈哈哈
m000010,0,1715417778,2024-05-11,救命恩人唐白白,这是
m000011,0,1715417790,2024-05-11,救命恩人唐白白,真是绝了
m000012,0,1715417800,2024-05-11,救命恩人唐白白,小黄鸡
m000013,0,1715417808,2024-05-11,救命恩人唐白白,为啥这么爱
m000015,0,1715417825,2024-05-11,我,和我气质比较搭
m000016,0,1715417839,2024-05-11,救命恩人唐白白,啊哈哈哈哈哈哈
m000017,0,1715417846,2024-05-11,救命恩人唐白白,贱贱的气质？
m000018,0,1715417876,2024-05-11,我,曾经我也是有一堆很可爱的表情包的
m000019,0,1715417938,2024-05-11,救命恩人唐白白,但是
m000021,0,1715417983,2024-05-11,我,后来小黄鸡这一套暴力的太对我胃口了
m000022,0,1715418006,2024-05-11,救命恩人唐白白,哈哈哈哈哈哈哈哈
m000023,0,1715418022,2024-05-11,救命恩人唐白白,你内心暴力
m000024,0,1715418047,2024-05-11,我,不过钉钉上搜不到这些暴力的
m000025,0,1715418052,2024-05-11,我,就显得我很温和
m000026,0,1716048018,2024-05-19,救命恩人唐白白,生日快乐[让我看看] 祝福已经说过啦，敬你一杯吧🥃
m000029,0,1716048363,2024-05-19,我,谢谢！回敬你一杯
m000030,0,1716048472,2024-05-19,救命恩人唐白白,但这也不是你正经生日吧
m000031,0,1716048498,2024-05-19,我,没事 瞎过
m000032,0,1716048506,2024-05-19,我,感情到位就行
m000033,0,1716048515,2024-05-19,我,具体哪天不重要
m000034,0,1716048662,2024-05-19,救命恩人唐白白,那你家里人给你庆祝哪天啊
m000035,0,1716048728,2024-05-19,我,应该是今天吧
m000036,0,1716048738,2024-05-19,我,大部分情况下
m000037,0,1716048761,2024-05-19,救命恩人唐白白,噢 那还行
m000038,0,1716048789,2024-05-19,救命恩人唐白白,不会显得我的踩点非常刻意&格格不入
m000039,0,1716048821,2024-05-19,我,放心 各种实名认证的APP什么的也是算今天的
m000040,0,1716048915,2024-05-19,救命恩人唐白白,行 不错
m000041,0,1716048930,2024-05-19,救命恩人唐白白,我已经精神涣散了
m000042,0,1716048939,2024-05-19,救命恩人唐白白,（不是喝酒喝的
m000043,0,1716048939,2024-05-19,我,早点睡吧
m000044,0,1716048949,2024-05-19,救命恩人唐白白,大家还在玩
m000045,0,1716048952,2024-05-19,我,玩嗨了
m000046,0,1716048957,2024-05-19,我,我理解
m000047,0,1716048963,2024-05-19,救命恩人唐白白,我就是比较心不在焉
m000048,0,1716048974,2024-05-19,救命恩人唐白白,这周上班太累了
m000049,0,1716048976,2024-05-19,我,为啥
m000050,0,1716048979,2024-05-19,我,玩累了
m000051,0,1716048985,2024-05-19,我,我也理解
m000053,0,1716049054,2024-05-19,我,我七点刷朋友圈看你四个小时发布
m000054,0,1716049062,2024-05-19,我,你太能熬了
m000055,0,1716049160,2024-05-19,救命恩人唐白白,我是上班上累的
m000056,0,1716049206,2024-05-19,我,你可是e人白羊
m000057,0,1716049219,2024-05-19,我,不是我这种周末需要躺一天补充能量的人
m000058,0,1716049250,2024-05-19,救命恩人唐白白,但我上周实在太累了
m000059,0,1716049255,2024-05-19,我,用户画像应该是就算周内精神萎靡周末也精神满满
m000060,0,1716049283,2024-05-19,我,那倒确实
m000061,0,1716049293,2024-05-19,我,但你说你加班不累来着
m000062,0,1716049339,2024-05-19,我,我还是觉得你就是缺觉
m000063,0,1716049370,2024-05-19,我,放松睡一个十小时的觉必有效果
m000064,0,1716052119,2024-05-19,救命恩人唐白白,你说的对
m000065,0,1716052125,2024-05-19,救命恩人唐白白,我现在能睡了
m000066,0,1716052140,2024-05-19,救命恩人唐白白,刚刚三缺一被叫走[微笑]
m000068,0,1716052167,2024-05-19,我,那快睡
m000069,0,1716052169,2024-05-19,救命恩人唐白白,我要怒睡10h
m000070,0,1716052177,2024-05-19,救命恩人唐白白,你竟然还不睡
m000071,0,1716052189,2024-05-19,我,刚吃了点烧烤
m000072,0,1716052193,2024-05-19,我,有点精神
m000073,0,1716052195,2024-05-19,救命恩人唐白白,看来徒步强度太小了
m000076,0,1716052218,2024-05-19,我,是强度有点大
m000077,0,1716052224,2024-05-19,我,导致晚饭没吃上
m000078,0,1716052235,2024-05-19,我,11点回来点了个外卖补一下
m000079,0,1716052290,2024-05-19,我,返程路上睡了会 就还好
m000081,0,1716052334,2024-05-19,救命恩人唐白白,11点？？
m000082,0,1716052349,2024-05-19,我,毕竟河北
m000083,0,1716052355,2024-05-19,救命恩人唐白白,真吓人啊😟
m000084,0,1716052360,2024-05-19,我,车程还是有三小时的
